username,userRank,numPixels,xCoordinateTop,yCoordinateTop,NumPixelsTop
starpup@toast.ooo,1,5184,301,477,8
tblFlip@pawb.social,2,4598,21,423,12
Ategon@programming.dev,3,4399,454,391,4
rrconkle@lemmy.zip,4,4347,201,462,12
green_copper@lemmy.world,5,4076,124,465,5
KoboldCoterie@pawb.social,6,3923,77,423,3
marius851000@mariusdavid.fr,7,3849,296,45,5
Shadow_Glider@equestria.social,8,3698,221,462,55
DmMacniel@feddit.org,9,3478,304,40,30
lvxferre@mander.xyz,10,3250,130,250,21
lnxtx@feddit.nl,11,3191,144,284,23
flughoernchen@feddit.org,12,3183,304,40,28
Vaporek@mas.to,13,3182,50,223,5
Toz@toast.ooo,14,3118,127,475,3
Lokloy@lemmy.world,15,3052,221,462,37
threelonmusketeers@sh.itjust.works,16,2905,381,288,6
renobel@toast.ooo,17,2887,487,332,8
dogpound@lemmy.world,18,2839,144,284,73
Adopon@lemmy.world,19,2825,260,16,6
Astrealix@lemmy.world,20,2730,100,23,3
orangerobot@grants.cafe,21,2646,362,348,19
MayhemWizard2@grants.cafe,22,2631,136,91,3
siv9939@lemmy.zip,23,2530,463,385,21
Rose@lemmy.zip,24,2525,181,376,3
Tamero@dizl.de,25,2515,478,104,6
Lilou41@lemmy.world,26,2499,110,285,3
Snoopy@jlai.lu,27,2472,119,110,5
misericordiae@literature.cafe,28,2449,189,388,8
FQQD@lemmy.ohaa.xyz,29,2442,370,65,4
nuggsy@lemmy.world,30,2436,373,291,4
nuko147@lemmy.world,31,2351,304,40,12
guantousam@lemmy.world,32,2347,289,297,6
bunnie@mas.to,33,2346,159,493,3
glennmagusharvey@sakurajima.moe,34,2275,113,290,4
StrangeLookingTree@grants.cafe,35,2229,138,94,4
the_real_monte@sh.itjust.works,36,2218,21,321,4
JRaccoon@discuss.tchncs.de,37,2195,228,246,2
Bluphph@mastodon.social,38,2169,279,350,5
yistdaj@pawb.social,39,2159,27,402,3
tynstar@nerdculture.de,40,2138,375,287,9
synapse1278@lemmy.world,41,2097,264,94,3
Redjard@lemmy.dbzer0.com,42,1975,369,289,12
Dexruus@chaos.social,43,1969,304,40,31
TheGuyTM3@lemmy.ml,44,1965,248,353,4
Sackeshi@lemmy.world,45,1964,369,288,14
mindbleach@sh.itjust.works,46,1955,222,458,11
Lumidaub@feddit.org,47,1887,171,223,27
mondsucht@discuss.tchncs.de,48,1865,144,284,4
hdggDalton@lemmy.world,49,1862,374,317,3
zkfcfbzr@lemmy.world,50,1844,342,391,5
DrDuskSaw@lemmy.world,51,1821,201,462,7
ValueSubtracted@startrek.website,52,1778,318,30,3
GeekFTW@lemmy.zip,53,1777,228,216,2
Green21Black@feddit.org,54,1770,175,123,4
30p87@feddit.org,55,1753,372,79,7
Illinoismapper@toast.ooo,56,1645,475,154,41
Ethanol@pawb.social,57,1637,428,16,3
Ohsin@mastodon.social,58,1633,118,293,4
deedan06_@lemmy.dbzer0.com,58,1633,362,346,6
P4ulin_Kbana@lemmy.eco.br,59,1616,22,23,20
roberth@functional.cafe,60,1570,264,392,4
MrChickn@mastodon.social,61,1560,227,462,6
Tudsamfa@lemmy.world,62,1557,362,348,30
yen@europe.pub,63,1556,223,66,7
KokoSabreScruffy@lemmy.world,64,1553,221,455,4
parsnip@lemmy.ca,65,1530,219,222,3
WrittenInRed@lemmy.dbzer0.com,66,1504,316,79,10
