username,black,darkGrey,deepGrey,mediumGrey,lightGrey,white,beige,peach,brown,chocolate,rust,orange,yellow,pastelYellow,lime,green,darkGreen,forest,darkTeal,lightTeal,aqua,azure,blue,navy,purple,mauve,magenta,pink,watermelon,red,rose,maroon,darkChocolate,darkPurple
guantousam@lemmy.world,106,0,82,21,100,260,0,18,67,0,0,0,126,124,147,99,25,0,10,88,226,112,104,1,91,77,267,102,0,0,0,1,0,93
Lokloy@lemmy.world,125,108,27,39,16,598,1,35,5,4,60,29,390,294,53,160,74,51,41,35,115,151,246,41,44,14,37,144,21,39,3,0,0,52
Lilou41@lemmy.world,124,2,8,289,452,31,0,1,104,43,114,135,94,5,99,52,8,45,144,0,2,19,16,284,25,0,24,46,0,110,18,103,81,21
Dave@lemmy.nz,43,3,0,0,0,36,0,3,74,1,0,8,0,1,18,114,116,100,0,0,0,0,741,5,3,0,0,0,0,1,0,0,32,0
SquReal@toast.ooo,20,55,14,9,75,7,0,0,0,17,13,38,53,1,0,0,14,0,0,0,0,17,446,148,7,0,0,0,28,109,0,0,6,0
KoboldCoterie@pawb.social,55,1479,99,167,75,42,185,8,370,106,8,0,12,0,90,84,70,37,0,0,477,157,10,1,24,0,6,4,6,37,10,4,295,5
basxto@discuss.tchncs.de,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
lnxtx@feddit.nl,324,6,77,6,179,213,0,0,0,17,120,0,169,0,345,0,308,0,40,8,4,449,106,13,0,0,7,2,0,704,33,9,7,45
Kilgorio@lemmy.world,21,0,58,12,81,0,0,0,14,1,0,14,23,6,0,2,3,2,2,0,32,0,0,28,49,17,41,1,0,0,0,0,0,6
9point6@lemmy.world,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
parsnip@lemmy.ca,128,15,6,38,85,44,0,17,24,82,24,28,153,30,0,0,123,4,0,0,271,64,51,0,2,0,11,31,0,135,149,0,0,15
rrconkle@lemmy.zip,31,57,11,5,110,76,26,42,148,10,0,22,517,49,111,104,182,58,11,1,802,40,125,23,546,75,234,95,11,69,48,0,0,708
DuskyRo@lemmy.world,124,1,18,6,7,14,0,0,2,0,104,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
tblFlip@pawb.social,185,711,277,333,5,39,365,355,214,200,42,83,12,0,73,87,90,75,0,0,368,6,282,54,0,0,0,304,0,15,18,0,399,6
StillPaisleyCat@startrek.website,56,44,98,519,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,50,4,0,0,0,0,0,5,21,26,1,0
user224@lemmy.sdf.org,307,89,76,65,0,30,0,0,2,0,33,25,356,0,11,0,32,0,0,0,0,26,41,0,28,0,0,0,12,79,0,0,4,0
Syrc@lemmy.world,229,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,129,214,0,5,8,0,0,0,0,0,0,0,0
Ategon@programming.dev,1374,335,82,45,40,40,53,17,38,156,3,121,89,6,3,65,306,236,47,70,146,265,463,34,19,12,65,50,3,34,57,8,92,25
Tihan@lemmy.world,12,55,0,10,0,39,0,0,0,0,0,106,86,0,37,0,0,36,2,10,85,0,74,18,136,38,133,68,0,20,0,0,0,137
eatham@aussie.zone,50,0,0,5,4,1,2,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,184,117,0,0,0,0,0,37,0,0,0,0
Estiar@sh.itjust.works,0,3,0,13,16,25,0,0,8,31,52,0,0,0,0,0,0,0,47,0,0,0,193,8,0,0,0,0,0,74,6,0,0,0
Bigcheese@lemmy.world,7,0,0,3,10,46,0,12,0,0,1,31,54,11,4,0,2,0,0,2,334,1,17,34,14,2,72,42,3,7,0,0,0,210
Today@lemmy.world,0,0,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rooki@lemmy.world,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ethan@aussie.zone,9,0,0,16,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,98,62,44,3,0,0,0,0,0,19,0,0,0,0
the_real_monte@sh.itjust.works,328,66,42,9,7,312,16,23,13,24,3,17,449,118,14,3,3,1,9,2,29,5,78,1,5,213,3,3,7,392,2,2,15,4
eagleeyedtiger@lemmy.nz,27,28,52,20,0,41,0,8,22,64,44,9,0,0,0,0,330,237,0,0,0,0,356,0,0,0,0,0,0,0,0,5,57,0
yistdaj@pawb.social,280,56,89,165,41,75,178,295,7,5,1,5,134,0,303,137,13,0,57,20,5,44,0,14,0,0,9,110,6,40,17,0,51,2
Ludrol@szmer.info,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atlas@reddthat.com,158,48,5,2,0,21,30,0,26,110,13,2,0,0,0,0,0,44,278,53,0,17,0,0,0,0,0,0,0,21,29,6,50,0
LittleEndu@lemmy.world,273,64,5,22,254,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cringedrif@lemmy.world,0,19,0,0,0,3,0,0,0,0,65,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0
ThePowerOfGeek@lemmy.world,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
sugar@toast.ooo,442,1,0,0,0,29,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,3,0,0,0,0,0,0,0,0,7,0,0,0
Redjard@lemmy.dbzer0.com,129,0,5,17,78,350,5,0,1,1,54,20,211,43,26,27,106,6,0,0,10,139,222,86,1,0,2,29,35,257,111,0,0,4
hitwright@lemmy.world,33,0,0,0,6,23,0,0,91,0,4,6,297,0,12,22,76,6,0,0,14,480,2,0,0,0,0,2,0,65,47,0,0,0
hark@lemmy.world,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
