username,black,darkGrey,deepGrey,mediumGrey,lightGrey,white,beige,peach,brown,chocolate,rust,orange,yellow,pastelYellow,lime,green,darkGreen,forest,darkTeal,lightTeal,aqua,azure,blue,navy,purple,mauve,magenta,pink,watermelon,red,rose,maroon,darkChocolate,darkPurple
guantousam@lemmy.world,127,173,388,196,109,869,1,12,19,15,26,9,48,40,8,5,1,13,12,7,27,61,16,8,16,15,5,10,18,64,6,18,15,15
Lokloy@lemmy.world,260,79,22,16,254,1096,69,31,0,55,0,7,11,157,0,2,5,21,17,18,31,241,185,35,116,140,271,33,66,34,86,34,221,106
Lilou41@lemmy.world,898,26,53,127,56,11,0,0,0,6,7,87,59,0,0,33,17,0,0,0,0,73,58,46,64,0,0,1,3,60,30,17,101,45
Dave@lemmy.nz,170,19,77,7,37,151,231,0,27,42,5,0,15,9,28,175,103,62,0,0,42,542,144,10,21,0,2,0,0,13,17,33,0,23
AbouBenAdhem@lemmy.world,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tzingo@lemmy.world,8,0,6,0,0,1,0,0,9,0,0,0,0,3,0,1,0,0,0,0,35,78,96,0,36,1,0,0,0,0,0,0,0,54
the_dopamine_fiend@lemmy.world,8,11,0,0,0,0,0,0,0,2,0,0,5,0,0,0,10,0,0,0,2,0,3,0,0,0,0,0,0,15,0,0,0,0
KoboldCoterie@pawb.social,425,482,107,57,37,249,67,6,1,56,24,18,202,410,0,25,0,0,0,0,534,313,77,81,1,35,3,23,59,6,53,208,195,178
basxto@discuss.tchncs.de,66,6,33,13,0,42,0,0,0,34,70,62,5,1,0,2,0,0,29,0,40,0,0,0,7,8,0,11,0,6,0,0,37,0
parsnip@lemmy.ca,81,8,10,0,0,0,56,0,0,0,0,0,12,12,0,0,0,0,0,119,67,13,114,200,32,0,0,161,0,0,57,16,0,56
Mubelotix@jlai.lu,242,2,0,0,153,129,0,0,0,0,0,0,88,7,49,165,237,83,0,16,17,0,344,0,168,0,0,2,10,136,0,0,2,0
tblFlip@pawb.social,588,388,108,38,34,173,9,90,97,169,159,5,254,455,47,0,1,17,0,0,495,194,217,36,0,0,1,0,0,95,58,5,304,0
user224@lemmy.sdf.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrc@lemmy.world,0,0,0,0,0,0,0,10,38,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0
Ategon@programming.dev,528,254,199,90,210,92,8,40,56,38,40,249,21,0,12,60,136,272,6,29,44,617,177,33,14,2,47,10,12,214,183,132,95,52
Tihan@lemmy.world,684,66,15,76,8,107,1,0,0,0,0,17,14,6,0,9,0,0,0,0,6,34,4,0,39,0,0,30,3,26,0,3,11,18
Dynoscord@lemmy.world,49,1,11,12,243,229,0,0,0,0,0,94,0,60,0,0,0,0,0,0,1,42,2,0,2,110,10,0,26,0,0,0,0,0
Estiar@sh.itjust.works,6,0,0,0,0,63,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3
Bigcheese@lemmy.world,69,0,10,0,8,0,3,0,0,0,0,16,0,97,0,0,0,0,0,0,43,18,9,0,25,7,7,39,4,8,0,0,0,25
PixeIOrange@lemmy.world,0,0,0,4,0,0,8,6,3,1,7,15,0,12,5,6,9,8,5,4,4,6,4,5,2,6,2,5,6,5,2,0,0,9
the_real_monte@sh.itjust.works,116,21,12,3,88,183,1,1,1,1,2,21,28,3,2,67,13,3,2,1,9,44,52,17,2,1,4,2,2,134,3,2,0,12
WeirdAlex03@lemmy.zip,7,18,0,72,88,47,6,0,4,0,0,0,31,0,0,2,4,0,0,0,0,1,23,42,7,4,3,5,0,7,5,6,6,276
patyk@lemmy.world,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
atlas@reddthat.com,24,66,1,33,7,23,110,28,112,41,4,79,3,0,0,47,90,41,0,0,11,37,13,7,2,0,2,9,36,24,8,1,119,2
brgo@lemmy.nz,17,0,0,0,0,24,0,0,30,0,59,0,0,0,0,0,0,0,0,0,0,50,560,0,0,0,0,24,0,0,0,0,0,0
kilgore_trout@feddit.it,65,18,31,0,0,3,16,0,0,13,8,74,5,31,11,59,254,61,0,0,0,0,55,20,0,0,0,30,0,57,18,0,0,0
freddo@feddit.nu,0,0,9,0,0,4,0,0,0,1,0,0,79,59,0,0,0,5,0,0,0,2,108,0,0,0,0,0,0,11,0,0,0,0
PdizzleParker@lemmy.world,213,0,4,3,27,9,20,0,0,9,0,29,0,71,0,56,0,37,189,0,80,1,8,0,57,65,17,0,84,1,8,8,0,1
popol_monopol@jlai.lu,108,0,68,69,84,10,0,0,3,12,0,0,111,0,0,0,0,0,0,0,0,0,0,34,0,136,0,182,0,0,0,0,5,44
imonboard@lemmy.world,318,27,46,0,0,93,0,0,8,0,7,49,90,0,10,38,15,0,0,88,189,117,6,34,64,20,15,12,1,178,3,5,1,112
pornalt@reddthat.com,229,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inlandempire@jlai.lu,68,0,80,0,2,251,12,0,2,1,0,3,45,0,0,15,78,17,0,3,58,33,141,123,159,0,0,0,26,237,16,28,0,23
anton@lemmy.blahaj.zone,0,0,0,0,0,0,0,0,0,44,26,2,58,0,0,0,0,0,0,0,0,0,0,337,0,0,0,0,0,0,0,0,0,0
TheGuyTM3@lemmy.ml,239,340,221,103,67,13,26,71,54,36,0,4,0,68,0,2,10,1,27,9,10,55,145,121,5,153,4,51,8,103,48,4,5,71
luthis@lemmy.nz,0,3,0,24,118,5,0,8,42,126,0,9,30,47,2,113,17,1,0,0,0,422,104,8,0,0,0,0,0,0,0,6,49,0
